ﾌｧｲﾙ名 総ｽﾃｯﾌﾟ 実ｽﾃｯﾌﾟ ﾃﾞﾊﾞｯｸﾞ文 ｺﾒﾝﾄ文 命令文 定義文 ﾌﾟﾘﾌﾟﾛ
osatrqevi.c 6 5 0 1 3 2 0
osatshm.c 188 74 0 114 62 6 6
oscanrq.c 433 268 0 165 226 40 2
oschgact.c 4 3 0 1 3 0 0
osclose.c 188 95 0 93 86 3 6
osclose2.c 89 7 0 82 5 0 2
oscmdmd.c 5 4 0 1 3 1 0
osconfig.c 7 6 0 1 3 3 0
osconn.c 239 117 0 122 106 4 7
osconn2.c 130 47 0 83 39 3 5
oscreat.c 289 191 0 98 178 6 7
oscrecbp.c 114 18 0 96 14 1 3
oscrelbp.c 316 215 0 101 193 13 9
oscremb.c 223 136 0 87 122 5 9
oscrempr.c 11 10 0 1 4 5 1
oscrepr.c 439 330 0 109 309 12 9
oscresp.c 194 89 0 105 76 4 9
osdconn.c 138 49 0 89 43 2 4
osdconn2.c 105 22 0 83 19 0 3
osdelay.c 219 121 0 98 112 4 5
osdelbp.c 351 256 0 95 238 10 8
osdelet.c 179 90 0 89 81 2 7
osdelmb.c 340 202 0 138 190 5 7
osdelsp.c 212 106 0 106 93 4 9
osdespr.c 89 58 0 31 52 2 4
osdsbptm.c 5 4 0 1 3 1 0
osdtrqev.c 5 4 0 1 3 1 0
osdtshm.c 162 44 0 118 33 5 6
osenbptm.c 5 4 0 1 3 1 0
osevent.c 224 99 0 125 81 7 11
osexcntrl.c 6 5 0 1 3 2 0
osexith.c 5 4 0 1 3 1 0
osexten.c 6 5 0 1 3 2 0
osflush.c 139 51 0 88 44 2 5
osfrpbf.c 333 234 0 99 209 18 7
osgetapmd.c 4 3 0 1 3 0 0
osgetptm.c 6 5 0 1 3 2 0
osgetpuc.c 5 4 0 1 3 1 0
osgetssw.c 6 5 0 1 4 0 1
osgfinf.c 260 162 0 98 137 19 6
osgtdat.c 148 54 0 94 45 4 5
osgtidn.c 5 4 0 1 3 1 0
osgtnrl.c 333 176 0 157 172 0 4
osgtpbf.c 272 175 0 97 157 11 7
osgtpin.c 162 68 0 94 60 1 7
osgtshm.c 249 129 0 120 109 12 8
osiclose.c 6 5 0 1 3 2 0
osiioctl.c 9 8 0 1 3 5 0
osiioctl2.c 1434 1105 0 329 1084 7 14
osioctl.c 8 7 0 1 3 4 0
osioctl1.c 124 34 0 90 31 0 3
osioctl2.c 273 230 0 43 216 5 9
osiopen.c 11 10 0 1 3 7 0
osipl2.c 9 8 0 1 3 5 0
osiread.c 8 7 0 1 3 4 0
osireadd.c 111 20 0 91 14 1 5
osireadd2.c 376 223 0 153 215 3 5
osiwrit.c 8 7 0 1 3 4 0
osiwritd.c 111 20 0 91 14 1 5
osiwritd2.c 342 199 0 143 191 3 5
osiwrite.c 8 7 0 1 3 4 0
oslink.c 206 119 0 87 110 2 7
osmbinf.c 6 5 0 1 3 2 0
osmknod.c 9 8 0 1 3 5 0
osmount.c 7 6 0 1 3 3 0
osmsgqget.c 100 18 0 82 14 1 3
osopen.c 192 94 0 98 88 1 5
osopen2.c 95 7 0 88 5 0 2
ospathopn.c 5 4 0 1 3 1 0
osprgmd.c 200 108 0 92 92 9 7
osrcvms.c 497 279 0 218 271 0 8
osrcvmsp.c 528 299 0 229 290 0 9
osrcvmspr.c 246 110 0 136 106 0 4
osrcvmsr.c 288 146 0 142 140 0 6
osread.c 185 92 0 93 85 2 5
osreadd.c 150 61 0 89 52 2 7
osrelrd.c 192 71 0 121 69 0 2
osrenam.c 6 5 0 1 3 2 0
osrespr.c 5 4 0 1 3 1 0
osrestart2.c 8 7 0 1 3 4 0
osrsrrd.c 189 75 0 114 73 0 2
osrstex.c 5 4 0 1 3 1 0
osrstex2.c 89 25 0 64 22 1 2
osrstpir.c 5 4 0 1 3 1 0
osrtnpir.c 4 3 0 1 3 0 0
osseek.c 276 182 0 94 168 8 6
ossenms.c 287 172 0 115 153 14 5
ossenmsp.c 352 225 0 127 208 12 5
ossetex.c 6 5 0 1 3 2 0
ossetex2.c 84 20 0 64 18 0 2
ossetptm.c 6 5 0 1 3 2 0
ossigsp.c 199 94 0 105 81 4 9
ossleep.c 4 3 0 1 3 0 0
osslpun.c 210 118 0 92 103 9 6
ossnev.c 5 4 0 1 3 1 0
ossnsev.c 5 4 0 1 3 1 0
ossnsfu.c 114 24 0 90 20 2 2
ossnsms.c 245 109 0 136 92 12 5
ossnstm.c 148 49 0 99 36 9 4
ossnsus.c 114 24 0 90 20 2 2
osstdat.c 149 51 0 98 44 3 4
osstdtim.c 366 221 0 145 200 13 8
osstms.c 10 8 0 2 3 4 1
osstpir.c 6 5 0 1 3 2 0
osstpiri.c 6 5 0 1 3 2 0
ossttim.c 272 164 0 108 153 5 6
ossuspr.c 5 4 0 1 3 1 0
ossync.c 101 15 0 86 10 0 5
ossysdown2.c 7 6 0 1 3 3 0
ossysmd.c 6 5 0 1 3 2 0
ossysoff.c 5 4 0 1 3 1 0
osterm.c 53 19 0 34 15 1 3
ostrunc.c 214 125 0 89 115 4 6
osumount.c 5 4 0 1 3 1 0
osumountf.c 5 4 0 1 3 1 0
oswaitev.c 187 83 0 104 66 6 11
oswaitsp.c 385 212 0 173 193 10 9
oswakeup.c 4 3 0 1 3 0 0
oswchld.c 8 7 0 1 4 2 1
oswchldr.c 8 7 0 1 4 2 1
oswritd.c 190 98 0 92 88 3 7
oswrite.c 197 98 0 99 91 2 5
oswrite1.c 1267 738 0 529 647 84 7
tool_dump.c 212 179 3 30 152 16 11
全ﾌｧｲﾙ 34859 18508 129 16222 16699 1028 781
実ｽﾃｯﾌﾟ+ﾃﾞﾊﾞｯｸﾞ 18637
